Timing Belt 6mm,Quantity in project,Quantity of packs,Total Price £,URL,TOTAL (£),TOTAL ($)
600mm Aluminium extrusion,3,1,32.05,Al extrusion 600mm 4pcs,143.92,196.38
V Wheels,12,1,10.34,V Wheels set 24pcs,,
Limit Switches,4,1,1.48,Limit Switches 5pcs,,
NEMA 17,2,1,17.99,NEMA 17,,
Timing Belt 6mm,5m,1,4.07,Timing belt 6mm,,
Belt Pulley,2,1,4.99,Belt Pulley,,
Belt idler,2,1,3.85,Idler Pully,,
Esp32 30pin devkit v1,1,1,3.86,Esp32 30pin devkit v1,,
A4988 Motor Driver,2,2,2.42,A4988,,
JST 3 pin connectors,2,1,1.02,JST XH 2.54 3 pin connector 10pcs,,
JST 4 pin connectors,2,1,1.23,JST XH 2.54 4 pin connector 10pcs,,
JST wire connectors,2,1,1.31,JST wire connectors,,
Pin sockets,4,1,1.82,40pin socket 10pcs Breakaway,,
DC barrel jack ,1,1,0.74,DC barrel jack 5.5mm/2.1mm 10pcs,,
7805 5V reg,1,1,1.36,7805 5V,,
100microfarads capacitor,3,1,3.39,100mf capacitor,,
1uf microfarads capacitor,1,1,1.89,1uf,,
Pin header Breakaway,10,1,3.39,breakable pin header,,
12V 3A power supply,1,1,4.51,12V 3A power supply,,
 Servo SG90,1,1,1.23,SG90 Servo,,
5mm(D) 45mm(L) Shaft,2,1,2.59,5mm/45mm Shaft,,
10mm spring ID5mm,2,1,0.94,10mm spring 5pcs,,
6mm Spacer M5,25,3D print these,-,Spacer 10pcs,,
M5 Sliding Nuts,12,1,1.4,Sliding nuts M5 20pcs,,
M5 Bolts ,30,1,9.54,M5 bolts 242pcs,,
M5 40mm (connecting plates),12,1,2.45,M5 40mm 20pcs,,
M3 4mm for NEMA 17,8,1,1.15,M3 4mm 50pcs,,
M5 Nyloc nuts,30,1,3.34,M5 Nyloc nuts 100pcs,,
Multistrand wire,2m,1,1.25,Multistrand wire,,
Cable spiral wrap,-,1,3.32,Cable spiral wrap,,
3D prints delivery,-,-,10,,,
PCB cost,-,-,5,,,
